session_date,status,gross,commission,ibkr_commission,section31_fee,total_explicit_cost,slippage,cost,cash_interest,financing,net,signal_count,fill_events,trade_units,shares_traded,holding_minutes,traded_notional,long_gross,short_gross,eod_exit_fills,eod_exit_notional,eod_extra_cost,positive_cash_minute_dollars,borrowed_cash_minute_dollars,long_notional_minute_dollars,short_notional_minute_dollars,known_partial_gross,known_partial_commission,known_partial_ibkr_commission,known_partial_section31_fee,known_partial_slippage,known_partial_cash_interest,known_partial_financing,section31_rate_per_million_used,cash_rate_annual_used,funding_rate_annual_used,borrow_rate_annual_used,total_daycount_fraction,intraday_daycount_fraction,cash_hurdle_ret,prev_aum,aum,close_valid,ret,market_impact,total_execution_cost,is_evaluation
2007-04-25,tier_excluded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6465793353587963,0.0,3.6465793353587963,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04847145455,0.06347145455,0.0025,0.0007523148148148148,0.0007523148148148148,3.646579335358796e-05,100000.0,100003.64657933536,True,3.646579335358796e-05,0.0,0.0,True
2007-04-26,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.464783916679213,0.0,13.464783916679213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04847145455,0.06347145455,0.0025,0.002777777777777778,0.0007523148148148148,0.00013464292930555555,100003.64657933536,100017.11136325204,True,,0.0,0.0,False
2007-04-27,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.466596854628223,0.0,13.466596854628223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04847145455,0.06347145455,0.0025,0.002777777777777778,0.0007523148148148148,0.00013464292930555555,100017.11136325204,100030.57796010668,True,,0.0,0.0,False
2007-04-30,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.40523011002952,0.0,40.40523011002952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04847145455,0.06347145455,0.0025,0.008333333333333333,0.0007523148148148148,0.00040392878791666666,100030.57796010668,100070.9831902167,True,,0.0,0.0,False
2007-05-01,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.495028548651296,0.0,13.495028548651296,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04854764211,0.06354764211,0.0025,0.002777777777777778,0.0007523148148148148,0.00013485456141666666,100070.9831902167,100084.47821876536,True,,0.0,0.0,False
2007-05-02,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49684841480753,0.0,13.49684841480753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04854764211,0.06354764211,0.0025,0.002777777777777778,0.0007523148148148148,0.00013485456141666666,100084.47821876536,100097.97506718017,True,,0.0,0.0,False
2007-05-03,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.498668526381016,0.0,13.498668526381016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04854764211,0.06354764211,0.0025,0.002777777777777778,0.0007523148148148148,0.00013485456141666666,100097.97506718017,100111.47373570656,True,,0.0,0.0,False
2007-05-04,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.500488883404852,0.0,13.500488883404852,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04854764211,0.06354764211,0.0025,0.002777777777777778,0.0007523148148148148,0.00013485456141666666,100111.47373570656,100124.97422458997,True,,0.0,0.0,False
2007-05-07,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5069284577364,0.0,40.5069284577364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04854764211,0.06354764211,0.0025,0.008333333333333333,0.0007523148148148148,0.00040456368424999996,100124.97422458997,100165.4811530477,True,,0.0,0.0,False
2007-05-08,warmup_no_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.507772029983638,0.0,13.507772029983638,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04854764211,0.06354764211,0.0025,0.002777777777777778,0.0007523148148148148,0.00013485456141666666,100165.4811530477,100178.98892507769,True,,0.0,0.0,False
